id,brand,x,y,name,category,likes,talking
205,eBay,-3.210613705,0.927127467,eBay,Website,3282337,129056
206,Facebook,1.478241804,-37.63829499,Facebook,Product_service,68950080,417588
207,Eminem,14.93887538,4.936339409,Eminem,Musician_band,59071766,389198
208,Equity_LifeStyle_Properties,-8.35461623,-23.85647251,Frasers_Hospitality,Travel_leisure,17165,241
208,Equity_LifeStyle_Properties,-8.35461623,-23.85647251,Equity_LifeStyle_Properties,Company,773,10
209,Everton_Football_Club,25.61448363,12.2206651,Everton_Football_Club,Professional_sports_team,245233,9846
210,FC_Barcelona,27.79344031,10.6368091,FC_Barcelona,Professional_sports_team,33001419,1107403
211,Federal_Signal_First_Responder_Systems,-19.17386858,-7.328792871,Federal_Signal_First_Responder_Systems,Local_business,2812,52
212,ForbesWoman,-6.930646377,-19.83378932,ForbesWoman,News_media,26122,1151
213,Sahara_Force_India_Formula_One_Team,39.81167352,-3.159489774,Sahara_Force_India_Formula_One_Team,Professional_sports_team,192115,4899
214,Gap,4.253723946,27.28273869,Gap,Retail_and_consumer_merchandise,2696909,31494
215,Get_Olympus,-0.554978064,-37.31799237,Get_Olympus,Company,135304,12717
216,Glee,23.07014835,-5.518549754,Glee,Tv_show,20375912,135690
217,Golden_State_Warriors,-19.52941977,2.626750137,Golden_State_Warriors,Professional_sports_team,349815,3012
218,Google,1.501519457,-39.56862484,Google,Website,10013199,100902
219,Green_Bay_Packers_Superbowl_XLV_2011,-27.27344752,-4.936263143,Baxter_International_Inc_,Local_business,67,2
219,Green_Bay_Packers_Superbowl_XLV_2011,-27.27344752,-4.936263143,Green_Bay_Packers_Superbowl_XLV_2011,Community,174411,60
220,Grey_s_Anatomy,-16.52524733,-26.46961241,Boeing,Company,69730,282
220,Grey_s_Anatomy,-16.52524733,-26.46961241,Grey_s_Anatomy,Tv_show,18164674,56792
221,Hillshire_Farm,-11.32136061,33.2210674,Hillshire_Farm,Food_beverages,148450,460
222,Hilton_Garden_Inn,20.68206257,29.70003334,Hilton_Garden_Inn,Travel_leisure,89848,2795
223,Hilton_Hotels_Resorts,22.16041694,28.04154872,Hilton_Hotels_Resorts,Travel_leisure,313053,6891
224,Horace_Mann,-10.81459438,21.49444254,Horace_Mann,Insurance_company,4393,41
225,House,-15.79109164,-26.72290224,Buehler_LTD,Local_business,246,1
225,House,-15.79109164,-26.72290224,House,Tv_show,28308471,114865
226,Houston_Rockets,-33.77242476,-3.387940087,Houston_Rockets,Professional_sports_team,532813,10859
227,How_I_Met_Your_Mother,6.172458518,-27.41034313,How_I_Met_Your_Mother,Tv_show,21392941,111499
228,IKEA_USA,-1.225066197,11.07554299,IKEA_USA,Company,854504,21751
229,Indiana_Pacers,-10.60630851,9.179933677,Indiana_Pacers,Professional_sports_team,185514,10686
230,ABC_7_Chicago,-0.001005492,20.34958867,ABC_7_Chicago,Tv_show,14122,594
231,ESPN,-12.13010105,6.674926306,ESPN,Tv_network,7655008,271368
232,Fox_News,-28.3530255,-16.76240333,Fox_News,Media_news_publishing,2641939,131816
233,Garmin,-4.299256408,13.39579732,Garmin,Product_service,137847,900
234,John_Deere,-20.83909158,-10.65606064,John_Deere,Product_service,1361799,28447
235,Kraft_Foods_Recipes_and_Tips,-11.13340004,30.71828911,Kraft_Foods_Recipes_and_Tips,Food_beverages,920250,8608
236,Kraft_Macaroni_Cheese,-11.3764962,33.7126257,Kraft_Macaroni_Cheese,Product_service,1166277,46027
237,Motorola,-0.364992426,-38.59974114,Motorola,Electronics,1087066,12991
238,NAVTEQ,-3.323755828,-38.48885939,NAVTEQ,Product_service,2518,26
239,NBC,-7.679474235,-15.95057661,NBC,Tv_network,344193,5973
240,NPR,-6.002993819,-25.17911709,NPR,Media_news_publishing,2411084,164646
241,American_Family_Insurance,-8.215565357,30.36205294,American_Family_Insurance,Insurance_company,58031,791
242,Breakstone_s,-12.15091028,33.00356893,Breakstone_s,Food_beverages,51030,59
243,Chips_Ahoy_,-1.96565149,5.189975696,Chips_Ahoy_,Food_beverages,768561,21835
244,Crystal_Light,-12.17603582,35.2126194,Crystal_Light,Food_beverages,731800,5481
245,Dentyne,-1.426560977,8.204194259,Dentyne,Product_service,605102,6344
246,GEICO,-3.962225425,1.436808248,GEICO,Product_service,258136,3571
247,Gevalia_Coffee,-3.97555885,2.043295539,Gevalia_Coffee,Food_beverages,220567,8108
248,Green_Black_s,-6.699002796,16.63174412,Green_Black_s,Food_beverages,56080,166
249,Green_Black_s_USA,-6.166007743,16.84106028,Green_Black_s_USA,Food_beverages,99771,381
250,HALLS,-8.952451488,31.49497872,HALLS,Health_beauty,257662,1541
251,JELL_O,-11.0808896,33.36059339,JELL_O,Product_service,475523,8877
252,Kool_Aid,-1.043210537,11.00718458,Kool_Aid,Food_beverages,2257414,10513
253,Kraft_Dinner,2.487337497,-5.312571733,Kraft_Dinner,Food_beverages,416947,3458
254,Liberty_Mutual_Insurance,-4.387478574,-1.360676452,Liberty_Mutual_Insurance,Insurance_company,17139,268
255,Lunchables,-10.92809031,33.52313624,Lunchables,Food_beverages,627412,7434
256,MapQuest,-5.154385885,28.0508482,MapQuest,Product_service,174134,4235
257,Maxwell_House,-3.909801439,4.530621502,Maxwell_House,Food_beverages,203350,1218
258,Miracle_Whip,-12.21210749,33.63912865,Miracle_Whip,Food_beverages,155263,3566
259,Mr_Peanut,-0.081036403,11.44049941,Mr_Peanut,Public_figure,494386,1966
260,SnackWell_s,-11.97622239,31.6646748,SnackWell_s,Company,118350,247
261,NAVIGON,-1.570079421,-40.02600695,NAVIGON,Product_service,13138,97
262,Philadelphia_Cream_Cheese,-12.11978238,33.5073002,Philadelphia_Cream_Cheese,Product_service,449247,10107
263,Ritz_Crackers,-11.37108951,33.84741752,Ritz_Crackers,Food_beverages,865551,5237
264,State_Farm,-5.153737143,28.05903675,State_Farm,Insurance_company,260963,1372
265,Stove_Top_Stuffing,-12.54598359,35.1941722,Stove_Top_Stuffing,Food_beverages,83294,143
266,Telenav,-4.377208156,28.61195164,Telenav,Product_service,5732,35
267,Toblerone,6.894145358,2.885706661,Toblerone,Food_beverages,2624291,10293
268,TomTom,-0.221288908,-37.920891,TomTom,Product_service,55486,644
269,TomTom_USA,-4.429276603,7.92542335,TomTom_USA,Product_service,74881,586
270,Trident_Chewing_Gum,19.50684081,-7.586395464,Trident_Chewing_Gum,Food_beverages,2988562,20475
271,Triscuit,-12.69401018,34.83372468,Triscuit,Food_beverages,348064,1390
272,USAA,-7.858256909,1.629149659,USAA,Bank_financial_institution,254502,20232
273,VELVEETA,-12.71133334,34.5355975,VELVEETA,Food_beverages,56892,1487
274,Wheat_Thins,-11.3223068,33.89577844,Wheat_Thins,Food_beverages,506487,1825
275,Tootsie_Rolls,-3.2333995,1.459928833,Tootsie_Rolls,Food_beverages,103264,2403
276,U_S_Cellular,-3.567422408,-6.426457723,U_S_Cellular,Retail_and_consumer_merchandise,349230,4246
277,LA_Lakers,-1.241022037,-10.37902852,LA_Lakers,Professional_sports_team,14014486,158703
278,Walgreens,-12.34493454,31.03547026,Walgreens,Company,2148100,54542
279,InterContinental_Hotels_Resorts,22.75080099,26.41987535,InterContinental_Hotels_Resorts,Travel_leisure,37272,1111
