id,brand,x,y
424,W_Hotels_Worldwide,21.45903001,26.8594294
425,WRC,11.81583074,-2.59378066
426,Yahoo_,-3.266348979,0.780383128
427,_Yao_Ming,-20.51090606,4.138363296
428,Aaliyah_Haughton,12.73297155,9.514424684
429,C28_Christian_Clothing,-27.48310198,21.1655267
430,Aamir_Khan,42.29425775,-1.631394909
431,Aaron_Watson,-37.01169055,-3.127299978
432,Cabela_s,-24.11151708,-10.92000084
433,Abby_s_Legendary_Pizza,-5.373227313,1.972072111
434,ABC11_WTVD_Eyewitness_News_Raleigh_Durham_Fayetteville,-8.536084917,-15.68910503
435,Caboodles,-13.55840901,20.77457806
436,Cadillac,-17.4118476,-9.751270583
437,Caesars_Palace,21.92687743,28.66397547
438,ABC30_Action_News,1.80275221,-12.00036914
439,Cafe_Brazil,-35.56462984,-4.781082373
440,CafeMom,-16.12019309,23.50200683
441,Cage_The_Elephant,12.03686455,-20.28225947
442,Cake_Boss,4.002086467,13.85463697
443,Cake_music,4.551042068,-23.09473877
444,California_Academy_of_Sciences,-4.193644552,-23.2112861
445,California_Baby,-15.21950035,24.73268332
446,Californication,4.019833601,-25.21149568
447,ABC_33_40,-28.87494558,4.707880905
448,Cali_Swag_District,13.01941447,5.829831549
449,Callaway_Golf,-9.868354847,4.728431032
450,CALLED_Magazine,-27.9890666,21.53819458
451,Call_of_Duty_World_at_War,11.76075412,-29.63702854
452,Calorie_Count,-5.68199934,16.3076707
453,CamiCakes,10.7770447,11.85260399
454,Camping_Survival,-24.81160414,-13.97550977
455,ABC_7_Eyewitness_News_WBBJ,-29.07976092,2.206630467
456,Cam_Newton_For_Heisman,-27.99651063,4.812083477
457,Camila_M_xico,33.77612732,8.776445995
458,ABC_Family,21.39264128,-6.990990009
459,ABC_Family_s_25_Days_of_Christmas,-3.448196931,0.956976908
460,Nightline,-8.21639006,-17.45009402
461,ABC_News,-8.491039815,-17.65805307
462,Candace_Cameron_Bure,-25.64049829,20.48606325
463,Candace_Parker,-20.26869928,6.214909562
464,Canobie_Lake_Park,4.737829301,-0.661136687
465,CAPCOM,10.61724971,-31.47734667
466,Capitalism,-26.68992906,-17.76084066
467,Abercrombie_Fitch,6.402262738,25.61799065
468,Above_Beyond,15.3422694,0.953038193
469,Academy_Sports_Outdoors,-34.71046103,-2.117441993
470,Access_Hollywood,-7.723086763,-15.0083401
471,Caprica,4.529246539,-24.23335627
472,Captain_America,10.02868648,-27.97066646
473,Captain_C_B_Sully_Sullenberger,-23.22140682,-16.33825753
474,Captain_Jack_Sparrow,19.72999595,-3.575000835
475,Captain_Paul_Watson,-8.606970526,-11.04855028
476,AC_DC,11.19950054,-15.99840149
477,Ace_Hardware,-4.022920757,2.394756955
478,Captain_Planet,1.119818817,-3.687099013
479,ACN,1.978639553,0.430982092
480,A_Comic_Shop,8.563304625,-27.21531697
481,CareerBuilder,-7.578000629,-14.43713179
482,Carhartt,-22.37671452,-10.75945428
483,6abc_Action_News,-16.1257242,15.29559242
484,Caribou_Coffee,-26.41732286,-5.205979366
485,Carl_Azuz_CNN_Student_News_Official,19.73649616,-7.983931133
486,Carlos_Alberto_Tevez,29.06436871,10.84594699
487,Carlos_Santana,8.31836312,-14.79654885
488,Carl_Paladino,-26.53755101,-17.30599559
489,Carl_s_Jr_,2.428656428,-12.03156567
490,Active_com,-3.811832865,14.45458417
491,Carmelo_Anthony,-18.67501155,5.247275082
492,Carmen_Electra,22.29673387,3.173477366
493,Carmex,-9.054123741,31.54665433
494,Carmine_s,-3.504753816,-1.16401147
495,Carnegie_Hall,-3.831165966,-22.08403648
496,Carnifex,15.28945947,-20.05665116
497,Carnival_Cruise_Lines,22.10652168,28.91714279
